block,sae_seed,region_source,threshold,step_index,method,metric,target,n,pearson,spearman,partial_pearson_order,partial_spearman_order,partial_n
11,42,attn,0.3,4,topk,r,merged_rate,200,0.16073950958772665,0.17858970042654587,0.16112019165788555,0.178780673208262,200
11,42,attn,0.3,4,topk,r,leak_a_to_b_rate,200,0.15516975979689948,0.12120565316113242,0.1559268352206526,0.12214925242773893,199
11,42,attn,0.3,4,topk,r,leak_b_to_a_rate,200,-0.039809489285925044,0.012726330407910276,-0.039763992828917925,0.012962392381003496,199
11,42,attn,0.3,4,topk,r,rho_a_mean,200,-0.17359229186931313,-0.14444811424569237,-0.17338382513374936,-0.14431062597306651,185
11,42,attn,0.3,4,topk,r,rho_b_mean,200,0.23231884231769634,0.19394054144361958,0.2357742524195506,0.19703246815838105,189
11,42,attn,0.3,4,topk,r,metric_leak_a_to_b_mean,200,0.025026027805189754,0.011941694040284648,0.02528179223290364,0.01139991896699584,189
11,42,attn,0.3,4,topk,r,metric_leak_b_to_a_mean,200,0.2943828601187585,0.3697400153307509,0.29496540448372055,0.3724823678123585,185
11,42,attn,0.3,4,topk,O,missing_asym_b_minus_a,200,-0.15240121368474863,-0.1239545131712443,-0.1524165079771782,-0.12412812211433698,200
11,42,attn,0.3,4,topk,O,merged_rate,200,0.1753027241161899,0.18857258736103527,0.17571789649099814,0.18877423522470116,200
11,42,attn,0.3,4,topk,O,leak_a_to_b_rate,200,0.03929515872926492,0.007201335235523537,0.039736524600004576,0.007739163965290387,199
11,42,attn,0.3,4,topk,O,leak_b_to_a_rate,200,0.03434275404991342,-0.04047290791316397,0.03444303854026637,-0.04023085006176441,199
11,42,attn,0.3,4,topk,O,rho_a_mean,200,-0.28228159888923904,-0.2875268140072584,-0.2834414285452667,-0.2882601162883126,185
11,42,attn,0.3,4,topk,O,rho_b_mean,200,-0.04633321543322775,-0.032509031178289044,-0.04649571608388458,-0.03256037085257324,189
11,42,attn,0.3,4,topk,O,metric_leak_a_to_b_mean,200,0.14791530080133844,-0.032490366726454716,0.14795191988093614,-0.03254345317859906,189
11,42,attn,0.3,4,topk,O,metric_leak_b_to_a_mean,200,0.5718584018270612,0.5919528661328153,0.5759853271226263,0.5993829894945596,185
11,42,attn,0.3,4,topk,O_c,missing_asym_b_minus_a,200,-0.17159407062783608,-0.12914681179006401,-0.1716112910280672,-0.1293276929933784,200
11,42,attn,0.3,4,topk,O_c,merged_rate,200,0.22794479974890985,0.2558168136926669,0.22848464523228187,0.2560903683736141,200
11,42,attn,0.3,4,topk,O_c,leak_a_to_b_rate,200,0.11660871913400647,0.11830435430372888,0.11746478816592629,0.11971644057184672,199
11,42,attn,0.3,4,topk,O_c,leak_b_to_a_rate,200,0.06346343810807295,0.043062921173096826,0.06361334944523515,0.04386197349316951,199
11,42,attn,0.3,4,topk,O_c,rho_a_mean,200,-0.39341619468338973,-0.4452833625786162,-0.3955614988508524,-0.4469109685066146,185
11,42,attn,0.3,4,topk,O_c,rho_b_mean,200,-0.17382130210927366,-0.15558242657382165,-0.17392072496330233,-0.1551450832516122,189
11,42,attn,0.3,4,topk,O_c,metric_leak_a_to_b_mean,200,0.07850605213847744,-0.06804881382110403,0.07865522602179549,-0.06846415764872577,189
11,42,attn,0.3,4,topk,O_c,metric_leak_b_to_a_mean,200,0.6410603945752333,0.7295425356576616,0.6470206214651343,0.7406461365976786,185
11,42,attn,0.3,8,pre,r,missing_asym_b_minus_a,200,0.14373901888090304,0.147552184017465,0.1437534438748723,0.14775884352556135,200
11,42,attn,0.3,8,pre,r,merged_rate,200,-0.1420306223162149,-0.17729991387392247,-0.14236699581559895,-0.17748950743765915,200
11,42,attn,0.3,8,pre,r,leak_a_to_b_rate,200,0.04035383355348286,-0.0009257623590721086,0.04038155629089067,-0.0011734672805422267,199
11,42,attn,0.3,8,pre,r,leak_b_to_a_rate,200,-0.06999969530695925,-0.09712383378360281,-0.07005753325751464,-0.09778494234001561,199
11,42,attn,0.3,8,pre,r,rho_a_mean,200,0.4571069710833946,0.2490937075821674,0.45719546589086496,0.24907471468045916,197
11,42,attn,0.3,8,pre,r,rho_b_mean,200,-0.17012082946791535,-0.09066140308220726,-0.17179102462334422,-0.09118663872206775,197
11,42,attn,0.3,8,pre,r,metric_leak_a_to_b_mean,200,0.47902304059891165,0.45272545008948845,0.47974966154407,0.4543299961492783,197
11,42,attn,0.3,8,pre,r,metric_leak_b_to_a_mean,200,-0.09163388328890788,0.03142337581896522,-0.0915761967738621,0.032041094847079635,197
11,42,attn,0.3,8,pre,O,missing_asym_b_minus_a,200,-0.24544688686888222,-0.16594403903401322,-0.2454715188017451,-0.16617645791487662,200
11,42,attn,0.3,8,pre,O,merged_rate,200,0.23471363996848355,0.2261059858705335,0.23526951620940842,0.2263477696295142,200
11,42,attn,0.3,8,pre,O,leak_a_to_b_rate,200,0.10236440796684466,0.09259834653468611,0.10339917011549365,0.09396982569097943,199
11,42,attn,0.3,8,pre,O,leak_b_to_a_rate,200,0.11771520473529462,0.04400776865648916,0.11795125895074407,0.04491271725204048,199
11,42,attn,0.3,8,pre,O,rho_a_mean,200,-0.3019260162441951,-0.37041565874974025,-0.3018896174746935,-0.3706793511992779,197
11,42,attn,0.3,8,pre,O,rho_b_mean,200,-0.3775877163268484,-0.40847861050392803,-0.37918318684656027,-0.4087323505973993,197
11,42,attn,0.3,8,pre,O,metric_leak_a_to_b_mean,200,0.32033270701214195,0.44231849170389625,0.32039421716174227,0.44298622349166045,197
11,42,attn,0.3,8,pre,O,metric_leak_b_to_a_mean,200,0.3526185072573602,0.4814609306882424,0.3529393337527129,0.4847209226200279,197
11,42,attn,0.3,8,pre,O_c,missing_asym_b_minus_a,200,-0.2114625938145972,-0.18236576056877044,-0.2114838152384266,-0.18262117948122986,200
11,42,attn,0.3,8,pre,O_c,merged_rate,200,0.16071474212970213,0.13815047074766204,0.16109536554267578,0.13829820031790638,200
11,42,attn,0.3,8,pre,O_c,leak_a_to_b_rate,200,0.10028855183397227,0.08699955112530297,0.10124853656023038,0.08827827830877359,199
11,42,attn,0.3,8,pre,O_c,leak_b_to_a_rate,200,0.07902174230479708,0.021348063693865306,0.07922526643458591,0.02209673199291469,199
11,42,attn,0.3,8,pre,O_c,rho_a_mean,200,-0.2309164029414823,-0.3888279769652586,-0.23087685546655345,-0.38909840089620906,197
11,42,attn,0.3,8,pre,O_c,rho_b_mean,200,-0.3115043018486676,-0.38337319686604543,-0.3131277250768756,-0.38369863116655784,197
11,42,attn,0.3,8,pre,O_c,metric_leak_a_to_b_mean,200,0.3510002193631319,0.4798777225109023,0.35125649150991384,0.4807716829843277,197
11,42,attn,0.3,8,pre,O_c,metric_leak_b_to_a_mean,200,0.4750470276468543,0.6425600818472432,0.47541973713335606,0.646738577989135,197
11,42,attn,0.3,8,raw,r,missing_asym_b_minus_a,200,-0.0772242644675088,0.00011996524631832097,-0.07723201434334552,0.00012013326795051495,200
11,42,attn,0.3,8,raw,r,merged_rate,200,0.059468009847665364,0.0755256927073412,0.059608848930446594,0.07560645521264196,200
