block,sae_seed,region_source,threshold,step_index,method,metric,target,control,n,partial_pearson,partial_spearman
11,42,attn,0.3,1,raw,r,merged_rate,order+attn2_projection:key:head_mean:b11,200,0.00032550700128932124,0.02437189910313291
11,42,attn,0.3,1,raw,r,merged_rate,order+attn2_projection:value:head_concat:b11,200,0.05386225903250795,0.06557256275554676
11,42,attn,0.3,1,raw,r,merged_rate,order+attn2_projection:value:head_mean:b11,200,0.053284433837954615,0.06544297572302556
11,42,attn,0.3,1,raw,r,merged_rate,order+caption_projection:projected:subword_mean,200,-0.02940745910285603,-0.007392753952680047
11,42,attn,0.3,1,raw,r,merged_rate,order+t5_hidden:hidden:subword_mean,200,0.019802682873645495,0.03731636839233351
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+attn2_projection:key:head_concat:b11,199,0.1475012583847921,0.11353474493128397
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+attn2_projection:key:head_mean:b11,199,0.15523247583445013,0.12441033145071602
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+attn2_projection:value:head_concat:b11,199,0.16214417341894843,0.1403106955019207
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+attn2_projection:value:head_mean:b11,199,0.16242913519499613,0.1403975315837596
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+caption_projection:projected:subword_mean,199,0.16495457020082144,0.1306565491782089
11,42,attn,0.3,1,raw,r,leak_a_to_b_rate,order+t5_hidden:hidden:subword_mean,199,0.16456299791356951,0.1388940602315882
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+attn2_projection:key:head_concat:b11,199,0.05853660933183713,-0.003673013297459109
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+attn2_projection:key:head_mean:b11,199,0.06487379990721698,0.008096063368776704
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+attn2_projection:value:head_concat:b11,199,0.0923984002752005,0.05071433744219159
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+attn2_projection:value:head_mean:b11,199,0.09303228682566268,0.051682714992761614
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+caption_projection:projected:subword_mean,199,0.0677230990327691,0.0119066462853974
11,42,attn,0.3,1,raw,r,leak_b_to_a_rate,order+t5_hidden:hidden:subword_mean,199,0.08439058725293301,0.011176992666177213
11,42,attn,0.3,1,raw,r,rho_a_mean,order+attn2_projection:key:head_concat:b11,180,-0.42686507299078424,-0.4510643643835472
11,42,attn,0.3,1,raw,r,rho_a_mean,order+attn2_projection:key:head_mean:b11,180,-0.40566336379310125,-0.43048579796749903
11,42,attn,0.3,1,raw,r,rho_a_mean,order+attn2_projection:value:head_concat:b11,180,-0.25771714007788576,-0.2833882278626552
11,42,attn,0.3,1,raw,r,rho_a_mean,order+attn2_projection:value:head_mean:b11,180,-0.2538244964273692,-0.279051783193164
11,42,attn,0.3,1,raw,r,rho_a_mean,order+caption_projection:projected:subword_mean,180,-0.43308753964050806,-0.44676244434905954
11,42,attn,0.3,1,raw,r,rho_a_mean,order+t5_hidden:hidden:subword_mean,180,-0.4203795914254895,-0.4227257981997408
11,42,attn,0.3,1,raw,r,rho_b_mean,order+attn2_projection:key:head_concat:b11,183,-0.22270222723457403,-0.15084205359192468
11,42,attn,0.3,1,raw,r,rho_b_mean,order+attn2_projection:key:head_mean:b11,183,-0.1940085929437051,-0.11926543006872285
11,42,attn,0.3,1,raw,r,rho_b_mean,order+attn2_projection:value:head_concat:b11,183,-0.0668534927742929,0.010974859527387679
11,42,attn,0.3,1,raw,r,rho_b_mean,order+attn2_projection:value:head_mean:b11,183,-0.06539757652044743,0.012132894870322245
11,42,attn,0.3,1,raw,r,rho_b_mean,order+caption_projection:projected:subword_mean,183,-0.16820971197701973,-0.10813097899779942
11,42,attn,0.3,1,raw,r,rho_b_mean,order+t5_hidden:hidden:subword_mean,183,-0.18835603475050738,-0.1321805635676827
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+attn2_projection:key:head_concat:b11,183,0.32577899587759224,0.3198414448792526
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+attn2_projection:key:head_mean:b11,183,0.31750738324416566,0.31477535312555255
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+attn2_projection:value:head_concat:b11,183,0.2819580547833613,0.2853337303438926
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+attn2_projection:value:head_mean:b11,183,0.2833724513730908,0.28703616224750844
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+caption_projection:projected:subword_mean,183,0.2791917068812966,0.2765468819579798
11,42,attn,0.3,1,raw,r,metric_leak_a_to_b_mean,order+t5_hidden:hidden:subword_mean,183,0.3032499204898426,0.31006772182309117
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_concat:b11,180,0.36711005667003677,0.327784415179756
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+attn2_projection:key:head_mean:b11,180,0.35197974793910475,0.3119523209328762
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_concat:b11,180,0.2775325957642775,0.23898648257974692
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+attn2_projection:value:head_mean:b11,180,0.2746801992976512,0.2351703355791172
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+caption_projection:projected:subword_mean,180,0.3874592800986317,0.33441493894861446
11,42,attn,0.3,1,raw,r,metric_leak_b_to_a_mean,order+t5_hidden:hidden:subword_mean,180,0.37684867703792896,0.32203599791379833
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+attn2_projection:key:head_concat:b11,200,-0.07153075098619836,-0.11348341899977854
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+attn2_projection:key:head_mean:b11,200,-0.043079177592120585,-0.08259050442931838
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+attn2_projection:value:head_concat:b11,200,0.020302620308093627,-0.0206096823113513
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+attn2_projection:value:head_mean:b11,200,0.021790457287542784,-0.019635422485772113
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+caption_projection:projected:subword_mean,200,-0.01280447543580563,-0.05533554559237042
11,42,attn,0.3,1,raw,O,missing_asym_b_minus_a,order+t5_hidden:hidden:subword_mean,200,0.011534404727471186,-0.040558225800276446
11,42,attn,0.3,1,raw,O,merged_rate,order+attn2_projection:key:head_concat:b11,200,0.062121611317850316,0.06715967886700881
11,42,attn,0.3,1,raw,O,merged_rate,order+attn2_projection:key:head_mean:b11,200,0.07951660686582183,0.0754960712408816
