block,sae_seed,region_source,threshold,step_index,method,score,label,n,auc,ci025,ci975
11,42,none,0.1,8,raw,metric_leak_a_to_b,leak_a_to_b_label,1943,0.4881267003497862,nan,nan
11,42,none,0.1,8,raw,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5708662639136012,nan,nan
11,42,none,0.1,8,topk,rho_a,a_present,1959,0.5579635782478866,nan,nan
11,42,none,0.1,8,topk,rho_b,b_present,1961,0.580170545886629,nan,nan
11,42,none,0.1,8,topk,metric_leak_a_to_b,leak_a_to_b_label,1939,0.43826599501454094,nan,nan
11,42,none,0.1,8,topk,metric_leak_b_to_a,leak_b_to_a_label,1961,0.6017511702083592,nan,nan
11,42,none,0.5,1,pre,rho_a,a_present,1963,0.5936296109782199,nan,nan
11,42,none,0.5,1,pre,rho_b,b_present,1963,0.5179189782924377,nan,nan
11,42,none,0.5,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1963,0.48741989233529864,nan,nan
11,42,none,0.5,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1963,0.589331526461704,nan,nan
11,42,none,0.5,1,raw,rho_a,a_present,1963,0.5789668051533845,nan,nan
11,42,none,0.5,1,raw,rho_b,b_present,1963,0.5650901068622706,nan,nan
11,42,none,0.5,1,raw,metric_leak_a_to_b,leak_a_to_b_label,1963,0.45178159446295824,nan,nan
11,42,none,0.5,1,raw,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5704679935449166,nan,nan
11,42,none,0.5,1,topk,rho_a,a_present,1963,0.6005581434386672,nan,nan
11,42,none,0.5,1,topk,rho_b,b_present,1963,0.5221194660609897,nan,nan
11,42,none,0.5,1,topk,metric_leak_a_to_b,leak_a_to_b_label,1963,0.49072032812099464,nan,nan
11,42,none,0.5,1,topk,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5898022096246949,nan,nan
11,42,none,0.5,4,pre,rho_a,a_present,1963,0.5986109362541441,nan,nan
11,42,none,0.5,4,pre,rho_b,b_present,1963,0.5767025356517854,nan,nan
11,42,none,0.5,4,pre,metric_leak_a_to_b,leak_a_to_b_label,1963,0.4788643937451935,nan,nan
11,42,none,0.5,4,pre,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5406753010303306,nan,nan
11,42,none,0.5,4,raw,rho_a,a_present,1963,0.5724159637416594,nan,nan
11,42,none,0.5,4,raw,rho_b,b_present,1963,0.5783082622779908,nan,nan
11,42,none,0.5,4,raw,metric_leak_a_to_b,leak_a_to_b_label,1963,0.44170084593693926,nan,nan
11,42,none,0.5,4,raw,metric_leak_b_to_a,leak_b_to_a_label,1963,0.6212603964083254,nan,nan
11,42,none,0.5,4,topk,rho_a,a_present,1963,0.6004951949305468,nan,nan
11,42,none,0.5,4,topk,rho_b,b_present,1963,0.5677104665450348,nan,nan
11,42,none,0.5,4,topk,metric_leak_a_to_b,leak_a_to_b_label,1963,0.4843053063317098,nan,nan
11,42,none,0.5,4,topk,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5375718955600612,nan,nan
11,42,none,0.5,8,pre,rho_a,a_present,1943,0.5608275001495688,nan,nan
11,42,none,0.5,8,pre,rho_b,b_present,1937,0.5851668290074294,nan,nan
11,42,none,0.5,8,pre,metric_leak_a_to_b,leak_a_to_b_label,1943,0.4524744137841689,nan,nan
11,42,none,0.5,8,pre,metric_leak_b_to_a,leak_b_to_a_label,1937,0.6141756042815851,nan,nan
11,42,none,0.5,8,raw,rho_a,a_present,1963,0.5738511897268035,nan,nan
11,42,none,0.5,8,raw,rho_b,b_present,1963,0.5641918308076107,nan,nan
11,42,none,0.5,8,raw,metric_leak_a_to_b,leak_a_to_b_label,1963,0.4910407587798,nan,nan
11,42,none,0.5,8,raw,metric_leak_b_to_a,leak_b_to_a_label,1963,0.5708662639136012,nan,nan
11,42,none,0.5,8,topk,rho_a,a_present,1959,0.5579635782478866,nan,nan
11,42,none,0.5,8,topk,rho_b,b_present,1961,0.580170545886629,nan,nan
11,42,none,0.5,8,topk,metric_leak_a_to_b,leak_a_to_b_label,1959,0.44268117245099803,nan,nan
11,42,none,0.5,8,topk,metric_leak_b_to_a,leak_b_to_a_label,1961,0.6017511702083592,nan,nan
11,43,attn,0.3,1,pre,rho_a,a_present,1682,0.6149573211590609,nan,nan
11,43,attn,0.3,1,pre,rho_b,b_present,1687,0.46249414885317525,nan,nan
11,43,attn,0.3,1,pre,metric_leak_a_to_b,leak_a_to_b_label,1687,0.4345989194847924,nan,nan
11,43,attn,0.3,1,pre,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6052558722387363,nan,nan
11,43,attn,0.3,1,raw,rho_a,a_present,1682,0.5369016977599088,nan,nan
11,43,attn,0.3,1,raw,rho_b,b_present,1687,0.4796997711551464,nan,nan
11,43,attn,0.3,1,raw,metric_leak_a_to_b,leak_a_to_b_label,1687,0.4705662423120782,nan,nan
11,43,attn,0.3,1,raw,metric_leak_b_to_a,leak_b_to_a_label,1682,0.6144285131433235,nan,nan
