pair_id,order,n,missing_asym_b_minus_a,count_a_ge2_rate,count_b_ge2_rate,a_present_rate,a_present_n,b_present_rate,b_present_n,merged_rate,merged_n,malformed_a_rate,malformed_a_n,malformed_b_rate,malformed_b_n,leak_a_to_b_rate,leak_a_to_b_n,leak_b_to_a_rate,leak_b_to_a_n
panda__lemon,0,10,0.0,0.6,0.3,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
panda__lemon,1,10,0.0,0.4,0.2,1.0,10,1.0,10,0.4,10,0.0,10,0.0,10,0.0,6,0.0,6
panda__pumpkin,0,10,0.0,0.5,0.4,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
panda__pumpkin,1,10,0.0,0.5555555555555556,0.4444444444444444,0.9,10,0.9,10,0.2,10,0.0,10,0.0,10,0.14285714285714285,7,0.0,7
panda__turtle,0,10,0.0,0.3,0.6,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
panda__turtle,1,10,0.0,0.4444444444444444,0.3333333333333333,0.9,10,0.9,10,0.6,10,0.0,10,0.0,10,0.25,4,0.25,4
panda__watermelon,0,10,0.0,0.3,0.2,1.0,10,1.0,10,0.3,10,0.0,10,0.0,10,0.0,7,0.0,7
panda__watermelon,1,10,0.0,0.4,0.1,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.1111111111111111,9,0.1111111111111111,9
peach__lemon,0,10,0.0,0.5714285714285714,0.2857142857142857,0.7,10,0.7,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
peach__lemon,1,10,0.09999999999999998,0.375,0.2857142857142857,0.8,10,0.7,10,0.3,10,0.0,10,0.0,10,0.0,5,0.0,5
peach__pear,0,10,0.0,0.1111111111111111,0.3333333333333333,0.9,10,0.9,10,0.2,10,0.0,10,0.0,10,0.0,7,0.0,7
peach__pear,1,10,0.0,0.14285714285714285,0.14285714285714285,0.7,10,0.7,10,0.3,10,0.0,10,0.0,10,0.0,7,0.0,7
penguin__apple,0,10,0.2,0.8,0.125,1.0,10,0.8,10,0.1,10,0.0,10,0.1,10,0.0,7,0.0,7
penguin__apple,1,10,0.4,0.9,0.14285714285714285,1.0,10,0.6,10,0.0,10,0.0,10,0.3,10,0.0,5,0.0,5
penguin__orange,0,10,0.4,0.8,0.0,1.0,10,0.6,10,0.0,10,0.0,10,0.0,10,0.0,6,0.0,6
penguin__orange,1,10,0.9,1.0,0.0,1.0,10,0.1,10,0.0,10,0.0,10,0.0,10,0.0,1,0.0,1
penguin__peach,0,10,0.3,0.8,0.5,1.0,10,0.7,10,0.0,10,0.0,10,0.2,10,0.0,5,0.0,5
penguin__peach,1,10,0.0,0.7,0.6,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,6,0.0,6
penguin__pepper,0,10,0.6,0.9,0.0,1.0,10,0.4,10,0.1,10,0.0,10,0.3,10,0.0,3,0.0,3
penguin__pepper,1,10,0.4,0.8888888888888888,0.6666666666666666,0.9,10,0.5,10,0.1,10,0.0,10,0.4,10,0.0,1,0.0,1
penguin__pumpkin,0,10,0.1,0.3,0.1111111111111111,1.0,10,0.9,10,0.1,10,0.0,10,0.1,10,0.0,8,0.0,8
